Date,State,Cases_Total,Cases_White,Cases_Black,Cases_LatinX,Cases_Asian,Cases_AIAN,Cases_NHPI,Cases_Multiracial,Cases_Other
20210113,CA,2781039,409082,82125,1133397,133241,6509,11688,26303,256656
20210113,CO,366774,142418,10380,104127,5172,2127,1064,5135,2677
20210113,MN,440354,290045,35516,39624,18998,4196,487,6525,6027
20210113,NH,54125,25696,790,3643,707,59,0,248,1528
20210113,RI,102485,42123,6169,25955,1714,204,0,812,1472
20210113,WA,281202,74235,8547,53468,9743,2228,3002,4537,2533
20210110,CA,2670962,391396,78392,1078116,126414,6261,11131,25284,244040
20210110,CO,361148,136442,9968,102241,4875,1986,1011,4875,2600
20210110,MN,436572,287390,35206,39266,18759,4155,479,6407,5986
20210110,NH,51600,24594,769,3471,682,54,0,242,1429
20210110,RI,97614,38145,5819,24390,1554,184,0,741,1334
20210110,WA,271595,70969,8312,51864,9300,2162,2896,4363,2471
20210106,CA,2482226,360022,72361,990854,114864,5646,10144,23026,220043
20210106,CO,349450,133769,9820,100048,4753,1957,1013,4822,2516
20210106,MN,427587,280569,34514,38475,18270,4054,465,6081,5976
20210106,NH,48838,23356,741,3258,647,50,0,230,1303
20210106,RI,95463,38145,5819,24390,1554,184,0,741,1334
20210106,WA,260752,68250,8104,50712,8976,2094,2826,4208,2431
20210103,CA,2391261,319136,64518,887580,100569,5090,8913,20372,191572
20210103,CO,341250,131040,9657,98280,4641,1911,990,4743,2423
20210103,MN,420544,275526,34104,37881,17871,3981,457,5948,5874
20210103,NH,46450,22255,721,3029,628,48,0,215,1205
20210103,RI,87949,34469,5555,23188,1397,182,0,661,1230
20210103,WA,255396,66421,7977,49747,8699,2060,2774,4101,2392
20201230,CA,2218142,319136,64518,887580,100569,5090,8913,20372,191572
20201230,CO,330859,126554,9330,95850,4434,1853,959,4566,2349
20201230,MN,413107,270421,33649,37282,17488,3904,445,5788,5758
20201230,RI,87949,34469,5555,23188,1397,182,0,661,1230
20201230,WA,242330,64289,7753,48516,8348,2012,2683,3968,2329
20201227,CA,2122806,281095,56998,789553,87036,4423,7796,17997,163422
20201227,CO,325018,123539,9036,94353,4323,1820,943,4518,2243
20201227,MN,409061,267534,33358,36923,17265,3864,437,5704,5699
20201227,NH,40809,19710,668,2465,575,40,0,190,965
20201227,RI,82066,31617,5343,22246,1265,172,0,606,1114
20201227,WA,227795,62082,7587,47359,8072,1959,2619,3869,2268
20201223,CA,1964076,281095,56998,789553,87036,4423,7796,17997,163422
20201223,CO,316500,119890,8735,92576,4178,1741,918,4368,2184
20201223,MN,402519,263173,32900,36422,16962,3789,424,5504,5601
20201223,NH,38512,18744,641,2217,548,36,0,179,870
20201223,RI,82066,31617,5343,22246,1265,172,0,606,1114
20201220,CA,1854456,263503,53554,749406,81287,4157,7318,17030,151064
20201220,CO,308890,116421,8464,90721,4046,1699,896,4263,2100
20201220,MN,397319,259623,32459,35924,16662,3710,421,5376,5557
20201220,NH,36542,17780,620,2146,519,31,0,168,810
20201220,RI,77812,28275,5041,20859,1147,160,0,555,1014
20201220,WA,222600,58657,7251,45502,7473,1848,2519,3645,2198
20201216,CA,1671081,237659,48540,678937,72150,3691,6517,15491,133082
20201216,CO,296716,111061,8071,87739,3857,1602,890,4095,1988
20201216,MN,386412,252412,31579,34846,16121,3562,406,5136,5395
20201216,NH,33433,16490,585,2019,486,29,11,158,651
20201216,RI,76209,28275,5041,20859,1147,160,0,555,1014
20201216,WA,205069,54986,6955,41271,7000,1722,2440,3394,2084
20201213,CA,1551766,221403,45522,643448,66913,3420,6068,14861,120491
20201213,CO,288193,107467,7781,85420,3718,1556,865,3948,1931
20201213,MN,378823,247130,30956,33970,15649,3469,400,4995,5332
20201213,NH,30956,15410,568,1923,454,29,11,152,543
20201213,RI,70818,24484,4562,18983,987,144,0,475,881
20201213,WA,202063,53662,6814,40500,6764,1695,2405,3315,2050
20201209,CA,1420558,201864,41860,590747,60350,3090,5569,13480,107849
20201209,CO,272346,62721,4820,28541,2451,871,435,1933,11384
20201209,MN,363719,235336,29173,32444,14830,3144,381,4548,5158
20201209,NH,27592,14046,535,1802,430,29,11,139,376
20201209,RI,68299,24484,4562,18983,987,144,0,475,881
20201209,WA,189863,51144,6543,38716,6361,1599,2334,3157,1976
20201206,CA,1341700,189230,39711,562444,56678,2949,5241,12698,99524
20201206,CO,260581,82552,6227,77705,2996,1198,677,3100,1719
20201206,MN,350862,226410,28329,31207,14141,2987,366,4301,4950
20201206,NH,24771,12904,513,1737,415,28,9,136,340
20201206,RI,62137,20585,4152,16951,838,129,0,391,744
20201206,WA,177447,48982,6303,37505,6032,1555,2253,2999,1904
20201202,CA,1245948,173320,37012,525780,51970,2711,4832,11590,91137
20201202,CO,241172,78742,5956,73629,2894,1133,651,2966,1615
20201202,MN,327477,210071,27057,29230,13066,2782,344,3905,4619
20201202,NH,22332,11936,494,1631,393,25,8,130,276
20201202,RI,59005,20585,4152,16951,838,129,0,391,744
20201202,WA,170342,46726,6077,36285,5655,1495,2154,2824,1842
20201129,CA,1198934,165513,35650,508059,49501,2607,4640,11107,86749
20201129,CO,228772,76181,5810,70461,2813,1098,640,2905,1532
20201129,MN,312969,199364,26346,28283,12432,2671,328,3695,4429
20201129,NH,20480,11265,483,1596,388,24,7,126,261
20201129,RI,53954,17952,3910,15580,753,118,0,356,655
20201129,WA,162700,44524,5853,35120,5342,1413,2084,2692,1786
20201125,CA,1144049,155546,34175,488220,46747,2440,4420,10321,81788
20201125,CO,210630,74373,5729,66727,2738,1053,631,2843,1495
20201125,MN,289303,182404,25366,26606,11474,2462,308,3325,4044
20201125,NH,18776,10496,470,1544,380,23,7,125,220
20201125,RI,52317,17952,3910,15580,753,118,0,356,655
20201125,WA,153906,42869,5676,34182,5080,1353,2030,2602,1710
20201122,CA,1102033,147872,32998,472384,44714,2351,4236,9889,77420
20201122,CO,198600,72171,5620,64028,2681,993,615,2820,1429
20201122,MN,270157,168539,24434,25086,10823,2300,310,3037,3917
20201122,NH,17598,10016,462,1509,373,0,0,0,358
20201122,RI,48001,15009,3565,13966,640,106,0,300,575
20201122,WA,141260,40022,5362,32782,4715,1296,1937,2437,1628
20201118,CA,1047789,138308,31431,449863,42236,2198,4024,9089,73833
20201118,CO,176694,68080,5424,59015,2544,954,583,2703,1360
20201118,MN,242043,148142,23331,23765,9962,2068,262,2652,3453
20201118,NH,15749,8098,428,1294,318,15,6,116,170
20201118,RI,45911,15009,3565,13966,640,106,0,300,575
20201118,WA,135424,38058,5162,31720,4453,1256,1873,2323,1543
20201115,CA,1019345,133343,30571,439199,40873,2126,3923,8786,71047
20201115,CO,163417,63046,5082,55202,2385,898,539,2549,1290
20201115,MN,223581,135067,22665,22874,9526,1922,238,2412,3139
20201115,NH,14671,8098,428,1294,318,15,6,116,170
20201115,RI,41529,12518,3226,12382,555,102,0,251,497
20201115,WA,130040,36657,5002,31138,4308,1240,1822,2254,1504
20201111,CA,984682,126715,29482,424660,39196,2021,3765,8345,67963
20201111,CO,142402,55251,4628,48815,2178,768,498,2192,1224
20201111,MN,194570,114518,21668,21306,8711,1700,218,2069,2723
20201111,NH,13148,8098,428,1294,318,15,6,116,170
20201111,RI,39776,12518,3226,12382,555,102,0,251,497
20201111,WA,120011,33883,4673,29720,3983,1196,1744,2082,1423
20201108,CA,956957,120812,28446,411702,37716,1948,3631,7890,65320
20201108,CO,130984,51044,4387,45516,2095,707,458,2056,1165
20201108,MN,180862,104850,21123,20749,8233,1589,203,1971,2543
20201108,NH,12488,8098,428,1294,318,15,6,116,170
20201108,RI,36380,11097,3022,11370,482,94,0,233,428
20201108,WA,117331,33074,4556,29248,3902,1184,1726,2029,1390
20201104,CA,940010,118777,28099,407046,37185,1899,3582,7765,64357
20201104,CO,117637,45972,4105,41537,1964,611,423,1835,1105
20201104,MN,160923,91002,20302,19654,7587,1415,182,1752,2278
20201104,NH,11563,7643,422,1258,304,15,6,110,159
20201104,RI,35122,11097,3022,11370,482,94,0,233,428
20201104,WA,111480,31429,4326,28461,3742,1163,1675,1923,1327
20201101,CA,926534,116385,27719,401503,36626,1879,3514,7562,63328
20201101,CO,109910,42337,3835,38963,1879,582,395,1670,1077
20201101,MN,150672,84081,19765,19043,7181,1345,180,1675,2159
20201101,NH,11214,7348,420,1228,299,15,6,107,163
20201101,RI,32874,10051,2865,10654,448,93,0,221,399
20201101,WA,108315,30520,4210,27990,3631,1147,1644,1874,1300
20201028,CA,908713,112941,27109,392284,35763,1828,3417,7309,62397
20201028,CO,100208,38980,3627,35864,1763,541,380,1513,1002
20201028,MN,139444,76516,19176,18450,6848,1251,166,1620,2039
20201028,RI,31944,10051,2865,10654,448,93,0,221,399
20201028,WA,104743,29290,4063,27408,3499,1108,1619,1802,1286
20201025,CA,898029,110436,26688,385597,35143,1798,3369,7146,61309
20201025,CO,95089,37446,3518,34555,1711,522,361,1464,988
20201025,MN,133802,72414,18854,18106,6618,1202,162,1589,1998
20201025,RI,30118,9206,2734,10015,420,86,0,204,364
20201025,WA,102913,28539,3994,26994,3441,1100,1601,1770,1277
20201021,CA,877784,108007,26217,377694,34451,1758,3325,6930,60304
20201021,CO,88849,34029,3314,32687,1581,515,328,1261,657
20201021,MN,126591,67618,18424,17588,6392,1118,161,1498,1914
20201021,RI,29123,9206,2734,10015,420,86,0,204,364
20201021,WA,99874,27514,3889,26520,3351,1087,1570,1717,1250
20201018,CA,867317,106404,25928,373742,33970,1734,3276,6846,59251
20201018,CO,85302,32414,3241,31374,1543,503,315,1177,639
20201018,MN,122812,64935,18174,17257,6228,1070,155,1450,1899
20201018,RI,27691,8577,2650,9600,406,81,0,194,343
20201018,WA,98201,26959,3837,26289,3291,1073,1557,1688,1242
20201014,CA,855072,104140,25515,366314,33342,1676,3220,6604,59198
20201014,CO,80777,30784,3150,29742,1510,476,298,1090,597
20201014,MN,115943,60348,17810,16733,5995,995,148,1404,1822
20201014,RI,27164,8577,2650,9600,406,81,0,194,343
20201014,WA,95509,25953,3770,25837,3202,1048,1536,1656,1228
